Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
FBS Independents,,Western Kentucky,,-,--,--,2,10,210,326,1,4,1,6,-,0,2,0,2,2008
Mid-American,East,Buffalo,5,3,256,223,8,6,424,395,5,2,3,4,L1,0,1,0,1,2008
Mid-American,East,Bowling Green,4,4,236,183,6,6,332,278,1,4,5,2,-,0,1,0,1,2008
Mid-American,East,Temple,4,4,207,180,5,7,281,277,3,2,2,5,-,0,1,0,1,2008
Mid-American,East,Akron,3,5,264,289,5,7,360,375,1,4,4,3,-,0,1,0,1,2008
Mid-American,East,Kent State,3,5,229,264,4,8,308,380,2,4,2,4,-,0,0,0,0,2008
Mid-American,East,Ohio,3,5,196,233,4,8,289,327,2,3,2,5,-,0,1,0,1,2008
Mid-American,East,Miami (OH),1,7,144,270,2,10,221,392,1,5,1,5,-,0,1,0,1,2008
Mid-American,West,Ball State,8,0,303,136,12,2,489,287,6,0,6,2,L2,0,0,0,0,2008
Mid-American,West,Western Michigan,6,2,219,187,9,4,372,324,6,0,3,4,L2,0,0,0,0,2008
Mid-American,West,Central Michigan,6,2,253,235,8,5,384,393,4,2,4,3,L3,0,1,0,1,2008
Mid-American,West,Northern Illinois,5,3,220,154,6,7,314,234,4,2,2,5,L2,0,0,0,0,2008
Mid-American,West,Eastern Michigan,2,6,210,317,3,9,309,427,2,3,1,6,-,0,1,0,1,2008
Mid-American,West,Toledo,2,6,170,236,3,9,269,377,1,5,2,4,-,0,0,0,0,2008
Mountain West,,Utah,8,0,298,125,13,0,480,224,6,0,7,0,W13,4,0,4,0,2008
Mountain West,,TCU,7,1,264,68,11,2,437,147,7,0,4,2,W2,2,2,2,2,2008
Mountain West,,BYU,6,2,262,196,10,3,445,285,6,0,4,3,L2,0,2,0,2,2008
Mountain West,,Air Force,5,3,205,180,8,5,348,289,3,4,5,1,L3,0,3,0,3,2008
Mountain West,,Colorado State,4,4,212,233,7,6,327,393,4,2,3,4,W3,0,3,0,4,2008
Mountain West,,UNLV,2,6,196,274,5,7,307,391,4,3,1,4,-,0,3,0,3,2008
Mountain West,,New Mexico,2,6,146,137,4,8,253,273,3,3,1,5,-,0,3,0,3,2008
Mountain West,,Wyoming,1,7,86,248,4,8,152,333,3,4,1,4,-,0,3,0,3,2008
Mountain West,,San Diego State,1,7,136,344,2,10,231,446,2,4,0,6,-,0,3,0,3,2008
Pac-12,,USC,8,1,325,80,12,1,488,117,7,0,5,1,W10,3,1,4,1,2008
Pac-12,,Oregon,7,2,373,249,10,3,545,367,6,1,4,2,W4,2,2,2,3,2008
Pac-12,,Oregon State,7,2,307,217,9,4,397,300,5,1,4,3,W1,1,3,2,3,2008
Pac-12,,California,6,3,293,169,9,4,424,259,8,0,1,4,W3,2,2,2,2,2008
Pac-12,,Arizona,5,4,306,204,8,5,476,277,6,2,2,3,W2,1,3,2,3,2008
Pac-12,,Arizona State,4,5,214,209,5,7,274,272,4,3,1,4,-,0,4,0,5,2008
Pac-12,,Stanford,4,5,257,260,5,7,315,329,4,1,1,6,-,1,3,1,4,2008
Pac-12,,UCLA,3,6,154,229,4,8,212,348,3,4,1,4,-,0,4,0,5,2008
Pac-12,,Washington State,1,8,77,453,2,11,165,570,2,5,0,6,-,0,4,0,5,2008
Pac-12,,Washington,0,9,111,347,0,12,159,463,0,7,0,5,-,0,5,0,6,2008
Southeastern,East,Florida,7,1,359,100,13,1,611,181,7,1,6,0,W10,4,1,4,1,2008
Southeastern,East,Georgia,6,2,215,214,10,3,409,319,4,3,6,0,W1,1,3,1,3,2008
Southeastern,East,South Carolina,4,4,163,186,7,6,270,274,5,2,2,4,L3,1,3,1,3,2008
Southeastern,East,Vanderbilt,4,4,144,174,7,6,249,255,4,3,3,3,W1,1,2,1,2,2008
Southeastern,East,Tennessee,3,5,129,149,5,7,208,201,4,3,1,4,-,0,3,0,3,2008
Southeastern,East,Kentucky,2,6,143,238,7,6,294,279,4,3,3,3,W1,0,3,0,3,2008
Southeastern,West,Alabama,8,0,255,115,12,2,422,200,7,1,5,1,L2,2,2,2,2,2008
Southeastern,West,Ole Miss,5,3,208,149,9,4,417,247,5,2,4,2,W6,2,1,2,1,2008
Southeastern,West,LSU,3,5,207,254,8,5,402,314,5,3,3,2,W1,1,4,1,4,2008
Southeastern,West,Arkansas,2,6,167,248,5,7,263,374,3,3,2,4,-,0,4,0,4,2008
Southeastern,West,Auburn,2,6,93,149,5,7,208,216,4,3,1,4,-,0,4,0,3,2008
Southeastern,West,Mississippi State,2,6,97,204,4,8,183,296,4,2,0,6,-,0,3,0,3,2008
Sun Belt,,Troy,6,1,252,117,8,5,426,277,5,1,3,4,L1,0,2,0,2,2008
Sun Belt,,Louisiana,5,2,254,224,6,6,397,404,4,1,2,5,-,0,0,0,0,2008
Sun Belt,,Florida Atlantic,4,2,202,164,7,6,326,373,4,1,3,5,W2,0,2,0,2,2008
Sun Belt,,Arkansas State,3,3,154,156,6,6,324,285,4,1,2,5,-,0,1,0,1,2008
Sun Belt,,Florida Intl,3,4,215,222,5,7,296,340,3,2,2,5,-,0,1,0,1,2008
Sun Belt,,Middle Tennessee,3,4,170,182,5,7,274,299,4,1,1,6,-,0,0,0,0,2008
Sun Belt,,Louisiana Monroe,3,4,210,214,4,8,284,374,3,3,1,5,-,0,1,0,1,2008
Sun Belt,,North Texas,0,7,134,312,1,11,240,571,0,5,1,6,-,0,0,0,0,2008
Western Athletic,,Boise State,8,0,343,94,12,1,489,164,6,0,6,1,L1,1,1,1,1,2008
Western Athletic,,Hawai'i,5,3,223,198,7,7,345,404,5,2,2,5,L2,0,4,0,4,2008
Western Athletic,,Nevada,5,3,320,234,7,6,489,420,3,4,4,2,L1,0,3,0,3,2008
Western Athletic,,Louisiana Tech,5,3,233,215,8,5,320,308,6,1,2,4,W1,0,1,0,1,2008
Western Athletic,,Fresno State,4,4,225,259,7,6,385,404,2,4,5,2,L2,0,1,0,1,2008
Western Athletic,,San Jose State,4,4,154,181,6,6,224,259,3,3,3,3,-,0,1,0,1,2008
Western Athletic,,Utah State,3,5,223,231,3,9,288,416,3,3,0,6,-,0,4,0,4,2008
Western Athletic,,Idaho,1,7,148,320,2,10,235,513,2,4,0,6,-,0,1,0,1,2008
Western Athletic,,New Mexico State,1,7,156,293,3,9,266,409,1,5,2,4,-,0,1,0,1,2008
Atlantic Coast,Atlantic,Boston College,6,2,213,165,11,3,396,285,6,2,5,1,W1,2,1,2,1,2007
Atlantic Coast,Atlantic,Clemson,5,3,230,149,9,4,430,243,5,2,4,2,L1,0,3,0,3,2007
Atlantic Coast,Atlantic,Wake Forest,5,3,225,208,9,4,362,289,6,1,3,3,W3,0,2,0,2,2007
Atlantic Coast,Atlantic,Florida State,4,4,192,174,7,6,303,298,5,2,2,4,L2,1,3,1,3,2007
