School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Pass Int,Turnovers
California,2001-11-17,10,@,Stanford,L,19,46,41.3,278,1,26,82,3.2,1,2,2,4
Central Michigan,2001-11-17,10,@,Western Michigan,L,16,29,55.2,127,1,50,198,4.0,1,0,2,2
Clemson,2001-11-17,10,@,South Carolina,L,15,29,51.7,204,2,31,146,4.7,0,0,2,2
Colorado State,2001-11-17,11,@,New Mexico,W,11,23,47.8,171,1,43,128,3.0,1,1,0,1
Connecticut,2001-11-17,10,@,Middle Tennessee State,L,11,31,35.5,102,1,42,118,2.8,0,1,0,1
Duke,2001-11-17,10,@,North Carolina,L,13,33,39.4,172,0,36,59,1.6,2,0,0,0
Eastern Michigan,2001-11-17,10,@,Toledo,L,13,30,43.3,102,0,23,8,0.3,1,0,0,0
Florida,2001-11-17,10,,Florida State,W,28,43,65.1,330,2,30,123,4.1,2,1,1,2
Florida State,2001-11-17,10,@,Florida,L,27,40,67.5,228,1,21,40,1.9,0,0,1,1
Fresno State,2001-11-17,11,@,Nevada,W,23,35,65.7,368,4,34,200,5.9,3,1,1,2
Georgia,2001-11-17,9,@,Mississippi,W,8,14,57.1,93,1,49,268,5.5,3,0,2,2
Georgia Tech,2001-11-17,10,@,Wake Forest,W,20,27,74.1,267,3,47,146,3.1,2,1,1,2
Hawaii,2001-11-17,10,,Miami (OH),W,30,53,56.6,500,7,11,45,4.1,0,0,1,1
Houston,2001-11-17,10,,Alabama-Birmingham,L,32,58,55.2,276,2,16,-6,-0.4,1,1,2,3
Idaho,2001-11-17,10,,North Texas,L,33,54,61.1,472,2,31,98,3.2,1,4,0,4
Illinois,2001-11-17,10,@,Ohio State,W,18,28,64.3,274,2,41,116,2.8,1,1,1,2
Indiana,2001-11-17,9,@,Penn State,L,12,24,50.0,225,0,49,298,6.1,2,0,0,0
Iowa,2001-11-17,10,,Minnesota,W,13,14,92.9,206,3,53,267,5.0,3,1,0,1
Iowa State,2001-11-17,10,@,Kansas,W,7,18,38.9,112,1,63,320,5.1,5,0,1,1
Kansas,2001-11-17,10,,Iowa State,L,12,26,46.2,126,1,34,85,2.5,0,1,5,6
Kansas State,2001-11-17,10,,Louisiana Tech,W,16,24,66.7,205,0,66,338,5.1,5,2,3,5
Kentucky,2001-11-17,10,,Tennessee,L,34,53,64.2,406,4,31,137,4.4,1,1,1,2
Louisiana,2001-11-17,10,,New Mexico State,L,26,43,60.5,329,4,32,127,4.0,1,0,1,1
Louisiana Tech,2001-11-17,10,@,Kansas State,L,16,38,42.1,144,1,20,31,1.6,0,1,2,3
Louisiana-Monroe,2001-11-17,10,@,Arkansas State,W,14,23,60.9,179,0,32,82,2.6,1,0,0,0
Marshall,2001-11-17,10,,Ohio,W,28,39,71.8,399,6,24,113,4.7,0,1,0,1
Maryland,2001-11-17,11,@,North Carolina State,W,27,41,65.9,296,2,36,103,2.9,1,2,1,3
Memphis,2001-11-17,10,,Army,W,13,22,59.1,233,4,40,138,3.5,2,2,1,3
Miami (FL),2001-11-17,9,,Syracuse,W,14,22,63.6,235,4,36,331,9.2,3,0,0,0
Miami (OH),2001-11-17,11,@,Hawaii,L,40,53,75.5,452,3,38,164,4.3,4,0,0,0
Michigan,2001-11-17,10,@,Wisconsin,W,11,26,42.3,58,1,38,105,2.8,0,1,1,2
Michigan State,2001-11-17,9,@,Purdue,L,24,45,53.3,304,1,33,60,1.8,1,4,2,6
Middle Tennessee State,2001-11-17,11,,Connecticut,W,13,18,72.2,201,0,52,327,6.3,4,1,0,1
