"Player","Date","G","School","Loc","Opponent","WL","Tackle Solo","Tackle Assist","Tackle Tot","Tackle For Loss","Sack","unique_id"
"Ed Oliver","2017-11-24",11,"Houston",,"Navy","W",9,5,14,3.5,2,"ed-oliver-2"
"Michael Oliver","2017-11-24",12,"Central Michigan",,"Northern Illinois","W",5,2,7,0,0,"michael-oliver-1"
"Charles Omenihu","2017-11-24",12,"Texas",,"Texas Tech","L",1,1,2,0,0,"charles-omenihu-1"
"Chibu Onyeukwu","2017-11-24",12,"San Diego State",,"New Mexico","W",2,1,3,0.5,0,"chibu-onyeukwu-1"
"Nick Orr","2017-11-24",12,"Texas Christian",,"Baylor","W",2,1,3,0,0,"nick-orr-1"
"Gabe Ortega","2017-11-24",12,"New Mexico","@","San Diego State","L",1,1,2,0,0,"gabe-ortega-1"
"Mo Osling III","2017-11-24",12,"UCLA",,"California","W",2,1,3,0,0,"mo-osling-iii-1"
"Joe Ostman","2017-11-24",12,"Central Michigan",,"Northern Illinois","W",2,5,7,2,1,"joe-ostman-1"
"Darrion Owens","2017-11-24",11,"Miami (FL)","@","Pittsburgh","L",2,1,3,0,0,"darrion-owens-1"
"Chris Palmer","2017-11-24",12,"California","@","UCLA","L",2,0,2,0,0,"chris-palmer-2"
"D.J. Palmore","2017-11-24",11,"Navy","@","Houston","L",4,4,8,1,0,"dj-palmore-1"
"Bijon Parker","2017-11-24",12,"New Mexico","@","San Diego State","L",1,1,2,0,0,"bijon-parker-1"
"Jake Parker","2017-11-24",12,"Texas Tech","@","Texas","W",4,1,5,0,0,"jake-parker-1"
"Tevin Paul","2017-11-24",12,"California","@","UCLA","L",3,0,3,0,0,"tevin-paul-1"
"Tristan Payton","2017-11-24",11,"Central Florida",,"South Florida","W",0,1,1,0,0,"tristan-payton-1"
"Chris Peace","2017-11-24",12,"Virginia",,"Virginia Tech","L",0,6,6,0.5,0,"chris-peace-1"
"Greg Peace","2017-11-24",12,"Texas State","@","Troy","L",1,0,1,0,0,"greg-peace-1"
"Malcolm Perry","2017-11-24",11,"Navy","@","Houston","L",1,0,1,0,0,"malcolm-perry-1"
"Wyatt Pfeifer","2017-11-24",12,"Western Michigan","@","Toledo","L",1,0,1,0,0,"wyatt-pfeifer-1"
"Darius Phillips","2017-11-24",12,"Western Michigan","@","Toledo","L",1,3,4,0,0,"darius-phillips-1"
"Jaelan Phillips","2017-11-24",12,"UCLA",,"California","W",1,0,1,1,1,"jaelan-phillips-1"
"Sergio Phillips","2017-11-24",12,"San Diego State",,"New Mexico","W",0,1,1,0,0,"sergio-phillips-1"
"Adarius Pickett","2017-11-24",12,"UCLA",,"California","W",5,3,8,0,0,"adarius-pickett-1"
"Jaquel Pierce","2017-11-24",12,"Texas State","@","Troy","L",0,1,1,0,0,"jaquel-pierce-1"
"Michael Pinckney","2017-11-24",11,"Miami (FL)","@","Pittsburgh","L",2,1,3,2,0,"michael-pinckney-1"
"Jalen Pitre","2017-11-24",12,"Baylor","@","Texas Christian","L",5,0,5,0,0,"jalen-pitre-1"
"Jamiyus Pittman","2017-11-24",11,"Central Florida",,"South Florida","W",2,2,4,1.5,1,"jamiyus-pittman-1"
"Jordan Pittman","2017-11-24",11,"Navy","@","Houston","L",1,2,3,0.5,0,"jordan-pittman-1"
"Quentin Poling","2017-11-24",12,"Ohio","@","Buffalo","L",3,0,3,1,1,"quentin-poling-1"
"Jarvis Polu","2017-11-24",11,"Navy","@","Houston","L",2,1,3,0.5,0,"jarvis-polu-1"
"Baron Poole","2017-11-24",11,"Troy",,"Texas State","W",2,0,2,1,0,"baron-poole-1"
"Brian Popp","2017-11-24",12,"Pittsburgh",,"Miami (FL)","W",2,2,4,0,0,"brian-popp-1"
"Emanuel Porter","2017-11-24",12,"Texas Christian",,"Baylor","W",1,1,2,0,0,"emanuel-porter-1"
