coach_name,last_year_bonus,max_bonus,other_pay,school_pay,total_pay,year,school,conference
Chris Ash,50000.0,960000.0,0.0,2200000.0,2200000,2018,Rutgers,Big Ten
Chris Ash,50000.0,960000.0,0.0,2100000.0,2100000,2017,Rutgers,Big Ten
Chris Ash,0.0,960000.0,0.0,2000000.0,2000000,2016,Rutgers,Big Ten
Ken Niumatalolo,0.0,0.0,0.0,2163000.0,2163000,2018,Navy,AAC
Ken Niumatalolo,0.0,0.0,0.0,2000000.0,2000000,2017,Navy,AAC
Ken Niumatalolo,0.0,0.0,0.0,2000000.0,2000000,2016,Navy,AAC
Ken Niumatalolo,0.0,0.0,0.0,1637803.0,1637803,2015,Navy,AAC
Ken Niumatalolo,0.0,0.0,0.0,1574810.0,1574810,2014,Navy,AAC
Ken Niumatalolo,0.0,0.0,0.0,1514240.0,1514240,2013,Navy,AAC
Ken Niumatalolo,0.0,0.0,0.0,1605370.0,1605370,2012,Navy,AAC
Ken Niumatalolo,0.0,0.0,0.0,1538190.0,1538190,2011,Navy,AAC
Ken Niumatalolo,0.0,0.0,0.0,1852868.0,1852868,2010,Navy,AAC
Ken Niumatalolo,0.0,0.0,0.0,468464.0,468464,2009,Navy,AAC
Brian Kelly,0.0,0.0,0.0,2129638.0,2129638,2018,Notre Dame,Ind.
Brian Kelly,0.0,0.0,0.0,1645867.0,1645867,2017,Notre Dame,Ind.
Brian Kelly,0.0,0.0,0.0,1624730.0,1624730,2016,Notre Dame,Ind.
Brian Kelly,0.0,0.0,0.0,1187272.0,1187272,2015,Notre Dame,Ind.
Brian Kelly,0.0,0.0,0.0,1457284.0,1457284,2014,Notre Dame,Ind.
