coach,last_year_bonus,max_bonus,other_pay,position,school_name,school_pay,total_pay,year
Will Muschamp,0.0,95000.0,7000.0,assistant,Texas,900000.0,907000,2010
Will Muschamp,0.0,93150.0,57500.0,assistant,Texas,850000.0,907500,2009
Mark Richt,0.0,0.0,0.0,coach,Miami (FL),4058061.0,4058061,2018
Mark Richt,0.0,0.0,0.0,coach,Miami (FL),0.0,0,2017
Mark Richt,0.0,0.0,0.0,coach,Miami (FL),0.0,0,2016
Mark Richt,75000.0,1800000.0,124000.0,coach,Georgia,4000000.0,4124000,2015
Mark Richt,0.0,1000000.0,114000.0,coach,Georgia,3200000.0,3314000,2014
Mark Richt,0.0,1000000.0,114000.0,coach,Georgia,3200000.0,3314000,2013
Mark Richt,0.0,1000000.0,114000.0,coach,Georgia,2811340.0,2925340,2012
Mark Richt,0.0,525000.0,128400.0,coach,Georgia,2811400.0,2939800,2011
Mark Richt,0.0,600000.0,126400.0,coach,Georgia,2811340.0,2937740,2010
Mark Richt,0.0,475000.0,2287236.0,coach,Georgia,809340.0,3096576,2009
Mark Richt,0.0,400000.0,1446600.0,coach,Georgia,578100.0,2024700,2007
Mark Richt,0.0,400000.0,1443000.0,coach,Georgia,270000.0,1713000,2006
Mark Stoops,300000.0,3100000.0,13600.0,coach,Kentucky,4000000.0,4013600,2018
Mark Stoops,425000.0,3100000.0,13600.0,coach,Kentucky,3750000.0,3763600,2017
Mark Stoops,50000.0,2800000.0,13600.0,coach,Kentucky,3500000.0,3513600,2016
Mark Stoops,125000.0,2775000.0,13600.0,coach,Kentucky,3250000.0,3263600,2015
Mark Stoops,0.0,1475000.0,1600.0,coach,Kentucky,2700000.0,2701600,2014
Mark Stoops,0.0,1475000.0,0.0,coach,Kentucky,2001250.0,2001250,2013
Mark Stoops,0.0,37179.0,10000.0,assistant,Florida State,581150.0,591150,2012
Mark Stoops,0.0,37179.0,10000.0,assistant,Florida State,446150.0,456150,2011
Mark Stoops,0.0,23654.0,0.0,assistant,Florida State,400000.0,400000,2010
Mark Stoops,0.0,0.0,2900.0,assistant,Arizona,281014.0,283914,2009
Justin Fuente,75000.0,435000.0,0.0,coach,Virginia Tech,4000000.0,4000000,2018
Justin Fuente,125000.0,435000.0,0.0,coach,Virginia Tech,3250000.0,3250000,2017
Justin Fuente,0.0,400000.0,0.0,coach,Virginia Tech,3200000.0,3200000,2016
Justin Fuente,235000.0,725000.0,0.0,coach,Memphis,1400000.0,1400000,2015
Justin Fuente,0.0,725000.0,0.0,coach,Memphis,1006779.0,1006779,2014
Justin Fuente,0.0,625000.0,0.0,coach,Memphis,956779.0,956779,2013
Justin Fuente,0.0,625000.0,0.0,coach,Memphis,903285.0,903285,2012
Justin Fuente,0.0,0.0,0.0,assistant,TCU,0.0,0,2011
Justin Fuente,0.0,0.0,0.0,assistant,TCU,0.0,0,2010
Justin Fuente,0.0,0.0,0.0,assistant,TCU,0.0,0,2009
Bobby Petrino,869917.0,1472917.0,0.0,coach,Louisville,3980434.0,3980434,2018
Bobby Petrino,989584.0,1468750.0,0.0,coach,Louisville,3930434.0,3930434,2017
Bobby Petrino,794667.0,1464583.0,30000.0,coach,Louisville,3880434.0,3910434,2016
Bobby Petrino,782667.0,1341667.0,3500.0,coach,Louisville,3000000.0,3003500,2015
Bobby Petrino,0.0,1266667.0,0.0,coach,Louisville,3000000.0,3000000,2014
Bobby Petrino,0.0,355000.0,0.0,coach,Western Kentucky,855600.0,855600,2013
Bobby Petrino,0.0,650000.0,3000.0,coach,Arkansas,3635000.0,3638000,2011
Bobby Petrino,0.0,475000.0,13000.0,coach,Arkansas,2700000.0,2713000,2010
Bobby Petrino,0.0,550000.0,958000.0,coach,Arkansas,1900000.0,2858000,2009
Bobby Petrino,0.0,766667.0,941000.0,coach,Louisville,810000.0,1751000,2006
Jeremy Pruitt,0.0,1200000.0,0.0,coach,Tennessee,3846000.0,3846000,2018
Jeremy Pruitt,0.0,286000.0,0.0,assistant,Alabama,1300000.0,1300000,2017
Jeremy Pruitt,0.0,220000.0,0.0,assistant,Alabama,1000000.0,1000000,2016
Jeremy Pruitt,0.0,225000.0,0.0,assistant,Georgia,1300000.0,1300000,2015
Jeremy Pruitt,0.0,210000.0,0.0,assistant,Georgia,851600.0,851600,2014
Jeremy Pruitt,0.0,90833.0,3450.0,assistant,Florida State,500000.0,503450,2013
Jeremy Pruitt,0.0,52000.0,0.0,assistant,Alabama,260000.0,260000,2012
Jeremy Pruitt,0.0,79000.0,1000.0,assistant,Alabama,395000.0,396000,2011
Jeremy Pruitt,0.0,38000.0,0.0,assistant,Alabama,190000.0,190000,2010
Jeff Brohm,180000.0,1290000.0,0.0,coach,Purdue,3800000.0,3800000,2018
Jeff Brohm,0.0,1200000.0,0.0,coach,Purdue,3333333.0,3333333,2017
Jeff Brohm,150000.0,450000.0,3120.0,coach,Western Kentucky,805600.0,808720,2016
Jeff Brohm,100000.0,450000.0,3120.0,coach,Western Kentucky,610800.0,613920,2015
Jeff Brohm,0.0,550000.0,0.0,coach,Western Kentucky,600000.0,600000,2014
Jeff Brohm,0.0,25000.0,0.0,assistant,Western Kentucky,150000.0,150000,2013
Jeff Brohm,0.0,0.0,1200.0,assistant,UAB,170000.0,171200,2012
Jeff Brohm,0.0,24700.0,0.0,assistant,Illinois,190000.0,190000,2011
Jeff Brohm,0.0,22360.0,120.0,assistant,Illinois,172000.0,172120,2010
Jeff Brohm,0.0,0.0,0.0,assistant,Florida Atlantic,50000.0,50000,2009
Kyle Whittingham,279167.0,935000.0,0.0,coach,Utah,3787917.0,3787917,2018
Kyle Whittingham,330833.0,935000.0,0.0,coach,Utah,3687917.0,3687917,2017
Kyle Whittingham,334167.0,935000.0,0.0,coach,Utah,3650000.0,3650000,2016
Kyle Whittingham,195000.0,935000.0,0.0,coach,Utah,2600000.0,2600000,2015
