School,Conf,Coach,School Pay,Total Pay,Max Bonus,Asst Pay Total,School Buyout AS OF 12/1/17
Minnesota,Big Ten,Pat Poore,270000,270000,77500,2932000,
Colorado,Pac-12,Darrin Chiaverini,265625,265625,50961,2661601,
Illinois,Big Ten,Andrew Hayes-Stoker,265000,265000,111300,3245000,
Air Force,Mt. West,Steve Russ,265000,265000,,1618000,
Virginia Tech,ACC,Charley Wiles,260000,265000,0,3359000,
North Carolina State,ACC,Clayton White,264500,264500,62500,2966365,
Minnesota,Big Ten,Jeff Phelps,264000,264000,76000,2932000,
Minnesota,Big Ten,Rob Reeves,264000,264000,76000,2932000,
Minnesota,Big Ten,Brian Anderson,264000,264000,76000,2932000,
Colorado,Pac-12,Jim Jeffcoat,263332,263732,50521,2661601,
Texas Tech,Big 12,Eric Morris,260000,263000,65000,2247900,
Kansas State,Big 12,Mo Latimore,257500,261725,102400,3203525,
Colorado,Pac-12,Klayton Adams,260625,261025,50000,2661601,
Virginia Tech,ACC,Holmon Wiggins,260000,260000,0,3359000,
Virginia,ACC,Mark Atuaia,260000,260000,62500,3030000,
North Carolina State,ACC,George Barlow,260000,260000,62500,2966365,
Virginia Tech,ACC,Brian Mitchell,260000,260000,0,3359000,
Virginia Tech,ACC,Vance Vice,260000,260000,0,3359000,
Texas A&M,SEC,Aaron Moorehead,258000,258000,60000,4811000,
Indiana,Big Ten,Deland McCullough,256000,256000,62777,2751661,
Connecticut,AAC,Mike Cummings,255953,255953,78755,1893802,
Wisconsin,Big Ten,Inoke Breckterfield,254800,254800,99372,2862520,
Connecticut,AAC,Vincent Brown,253664,253664,78050,1893802,
Troy,Sun Belt,Vic Koenning,252500,252500,31563,1194400,
Washington State,Pac-12,David Nichol,251500,251500,31438,2662000,
Kentucky,SEC,John Schlarman,250000,250900,41666,3403900,
Oregon State,Pac-12,Chad Kauha'aha'a,250008,250008,86111,2736691,
Utah,Pac-12,Guy Holliday,250000,250000,20833,2900000,
South Florida,AAC,Darren Hiller,250000,250000,0,1911500,
Houston,AAC,Oscar Giles,250000,250000,42500,2419000,
Purdue,Big Ten,Darrell Funk,250000,250000,206250,2495000,
North Texas,C-USA,Mike Ekeler,250000,250000,20833,1245000,
Arizona State,Pac-12,Joe Seumalo,250000,250000,91666,3255000,
