School,Conf,Coach,School Pay,Total Pay,Max Bonus,Bonuses Paid (2016-17),Asst Pay Total,School Buyout AS OF 12/1/17,Conference,Division,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
Buffalo,MAC,Lance Leipold,405500.0,405500.0,380000.0,0.0,,787792.0,Mid-American,East,4.0,4,251,219,6,6,342,298,4,2,2,4,W3,0,0,0,0,2017
Hawaii,Mt. West,Nick Rolovich,400008.0,402102.0,1260000.0,60000.0,,725004.0,Mountain West,West,1.0,7,151,268,3,9,273,407,2,4,1,5,L5,0,0,0,0,2017
Coastal Carolina,Sun Belt,Joe Moglia,400000.0,400000.0,525000.0,,,725003.0,Sun Belt,,2.0,6,175,259,3,9,284,408,2,4,1,5,W2,0,0,0,0,2017
Louisiana-Monroe,Sun Belt,Matt Viator,390000.0,390000.0,50000.0,0.0,,204167.0,Sun Belt,,4.0,4,337,343,4,8,407,492,2,3,2,5,L3,0,2,0,2,2017
New Mexico State,Sun Belt,Doug Martin,376044.0,376044.0,135000.0,0.0,,30337.0,Sun Belt,,4.0,4,229,245,6,6,355,366,3,2,3,4,W2,0,0,0,0,2017
Miami (FL),ACC,Mark Richt,,,,,,,Atlantic Coast,Coastal,7.0,1,217,150,10,2,354,239,7,0,3,1,L2,2,1,2,1,2017
Air Force,Mt. West,Troy Calhoun,,,,,,,Mountain West,Mountain,4.0,4,257,291,5,7,377,389,3,3,2,4,W1,0,1,0,1,2017
USC,Pac-12,Clay Helton,,,,,,,Pac-12,South,8.0,1,328,210,11,2,449,342,7,0,3,2,W5,2,2,2,2,2017
Temple,AAC,Geoff Collins,,,,,,,American Athletic,East,4.0,4,209,218,6,6,298,332,3,3,3,3,W1,0,3,0,3,2017
Syracuse,ACC,Dino Babers,,,,,,,Atlantic Coast,Atlantic,2.0,6,189,297,4,8,329,386,4,3,0,5,L5,1,2,1,2,2017
Tulane,AAC,Willie Fritz,,,,,,,American Athletic,West,3.0,5,242,240,5,7,330,350,4,2,1,5,L1,0,3,0,3,2017
BYU,Ind.,Kalani Sitake,,,,,,,FBS Independents,,,-,--,--,4,9,222,321,2,4,2,4,W1,0,4,0,4,2017
Baylor,Big 12,Matt Rhule,,,,,,,Big 12,,1.0,8,217,332,1,11,292,431,0,6,1,4,L3,0,3,0,3,2017
Army,Ind.,Jeff Monken,,,,,,,FBS Independents,,,-,--,--,9,3,357,251,6,0,2,3,W1,0,1,0,1,2017
