Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-09-05, Sam Houston, 317, 46, 320, 52, 36, 5, 47, 2, 2, 34, 15, 9, 1, 0, 1919, 45, Texas Tech, 174, 31, 437, 57, 34, 10, 69, 0, 1, 29, 16, 9, 1, 0, 1681, 59
2015-09-05, Louisville, 238, 48, 167, 33, 17, 5, 35, 1, 1, 27, 16, 8, 3, 3, 1850, 24, Auburn, 190, 41, 137, 21, 11, 8, 80, 0, 3, 21, 10, 4, 1, 0, 1750, 31
2015-09-05, Grambling St, 127, 33, 170, 30, 11, 8, 61, 1, 4, 11, 15, 3, 1, 0, 1558, 14, Cal, 185, 39, 471, 49, 34, 3, 36, 1, 2, 31, 12, 6, 2, 2, 2094, 73
2015-09-06, Northern Iowa, 126, 41, 176, 34, 20, 10, 74, 1, 1, 16, 16, 3, 1, 0, 1990, 7, Iowa State, 77, 32, 233, 29, 21, 5, 48, 2, 0, 15, 13, 3, 0, 0, 1610, 31
2015-09-06, Miss St, 205, 28, 237, 38, 22, 6, 60, 2, 0, 19, 14, 8, 0, 0, 1335, 34, Southern Miss, 102, 36, 311, 44, 30, 8, 64, 0, 2, 20, 17, 4, 4, 2, 2265, 16
2015-09-06, Arkansas State, 208, 50, 193, 37, 17, 8, 88, 2, 2, 19, 19, 6, 4, 0, 2131, 6, USC, 185, 32, 324, 32, 23, 3, 25, 0, 0, 22, 10, 3, 1, 0, 1469, 55
2015-09-06, Texas State, 132, 33, 168, 42, 26, 1, 5, 1, 0, 17, 17, 4, 5, 3, 1679, 16, FSU, 266, 41, 370, 32, 25, 5, 35, 1, 0, 30, 12, 8, 0, 0, 1921, 59
2015-09-06, Alabama A&M, 98, 37, 148, 26, 10, 8, 68, 0, 1, 14, 13, 1, 2, 1, 1599, 10, Cincinnati, 296, 51, 340, 38, 26, 8, 79, 2, 0, 34, 15, 11, 0, 0, 2001, 52
2015-09-06, Wisconsin, 40, 21, 228, 39, 26, 5, 50, 0, 1, 17, 14, 6, 0, 0, 1735, 17, Alabama, 238, 37, 264, 29, 22, 11, 120, 0, 0, 27, 11, 4, 1, 1, 1865, 35
2015-09-06, San Diego, 79, 38, 109, 27, 13, 4, 30, 1, 5, 13, 16, 4, 0, 0, 2079, 3, San Diego State, 166, 36, 139, 23, 11, 8, 58, 0, 1, 15, 14, 6, 0, 0, 1521, 37
2015-09-06, Purdue, 184, 47, 270, 48, 31, 4, 53, 0, 4, 28, 22, 10, 2, 2, 2087, 31, Marshall, 163, 29, 234, 36, 23, 6, 57, 2, 1, 20, 12, 4, 0, 0, 1513, 41
2015-09-06, Tennessee Tech, 29, 33, 312, 26, 16, 3, 15, 0, 1, 10, 15, 5, 0, 0, 1746, 24, Houston, 266, 45, 355, 37, 27, 9, 53, 1, 0, 27, 13, 4, 4, 3, 1854, 52
2015-09-06, Mississippi Valley State, 26, 40, 48, 16, 6, 9, 50, 2, 1, 8, 14, 4, 1, 1, 1960, 0, New Mexico, 339, 52, 172, 19, 12, 6, 55, 0, 0, 26, 10, 5, 3, 2, 1640, 66
2015-09-06, E Washington, 111, 31, 438, 55, 37, 11, 78, 0, 2, 31, 14, 6, 4, 3, 1993, 42, Oregon, 485, 57, 246, 25, 19, 8, 70, 1, 0, 34, 10, 5, 4, 3, 1607, 61
2015-09-11, LA Tech, 223, 31, 357, 49, 28, 5, 40, 1, 1, 28, 14, 6, 3, 1, 1814, 38, W Kentucky, 144, 34, 441, 38, 28, 10, 105, 1, 0, 24, 13, 4, 1, 1, 1786, 41
2015-09-12, Monmouth, 67, 31, 114, 33, 19, 3, 16, 0, 1, 15, 15, 4, 4, 3, 1605, 10, Cent Michigan, 84, 34, 328, 36, 25, 7, 75, 0, 1, 22, 17, 12, 0, 0, 1979, 31
2015-09-12, Memphis, 281, 52, 370, 27, 24, 7, 58, 3, 0, 34, 9, 5, 0, 0, 1706, 55, Kansas, 194, 46, 165, 38, 18, 7, 68, 0, 0, 23, 20, 8, 1, 0, 1894, 23
2015-09-12, San Diego State, 152, 43, 173, 32, 14, 12, 136, 0, 2, 16, 20, 9, 0, 0, 2050, 7, Cal, 164, 36, 321, 25, 17, 5, 50, 0, 1, 24, 10, 2, 1, 1, 1550, 35
2015-09-12, Oklahoma, 161, 48, 187, 39, 19, 9, 67, 0, 2, 20, 20, 9, 2, 1, 1960, 31, Tennessee, 129, 45, 125, 31, 13, 10, 80, 0, 1, 19, 18, 6, 0, 0, 1640, 24
2015-09-12, Appalachian St, 202, 45, 95, 28, 9, 12, 90, 1, 3, 12, 16, 3, 3, 1, 1824, 10, Clemson, 140, 44, 252, 31, 21, 9, 75, 0, 2, 22, 15, 5, 1, 1, 1776, 41
2015-09-12, Army, 180, 33, 85, 8, 3, 6, 60, 0, 1, 9, 8, 2, 1, 0, 1260, 17, UConn, 145, 46, 270, 25, 19, 7, 50, 1, 0, 23, 15, 7, 0, 0, 2340, 22
2015-09-12, Toledo, 81, 24, 237, 38, 21, 8, 55, 0, 0, 15, 17, 7, 3, 2, 1325, 16, Arkansas, 103, 31, 412, 53, 32, 9, 85, 0, 1, 30, 13, 5, 3, 1, 2275, 12
2015-09-12, Mid Tennessee, 86, 31, 189, 43, 23, 8, 67, 3, 1, 15, 19, 6, 1, 1, 1624, 10, Alabama, 220, 39, 312, 43, 26, 5, 40, 0, 2, 28, 13, 4, 3, 2, 1976, 37
2015-09-12, Hawaii, 80, 35, 85, 26, 8, 6, 36, 2, 2, 12, 14, 2, 2, 1, 1468, 0, OSU, 182, 49, 181, 34, 20, 7, 55, 0, 0, 26, 17, 8, 3, 1, 2132, 38
2015-09-12, Minnesota, 180, 41, 233, 45, 23, 8, 60, 2, 0, 23, 19, 6, 2, 1, 1792, 23, Colorado State, 172, 41, 142, 32, 16, 10, 86, 2, 2, 14, 19, 7, 1, 1, 1808, 20
