School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Oklahoma St.,46,2002-08-31,1,@,Louisiana Tech,54,L,36,39,-3,22,41,53.7,204,3,0,30,158,5.3,2,0,0,5,38,66,57.6,448,3,23,38,1.7,2,1,0,1,5
Ole Miss,116,2002-08-31,1,,UL Monroe,130,W,31,3,28,18,33,54.5,198,1,1,35,180,5.1,3,1,2,4,9,23,39.1,110,0,43,118,2.7,0,0,2,2,0
Oregon,99,2002-08-31,1,,Mississippi St.,114,W,36,13,23,14,28,50.0,166,3,0,53,205,3.9,1,1,1,4,18,37,48.6,192,1,24,31,1.3,1,2,2,4,2
Penn State,37,2002-08-31,1,,Central Florida,1,W,27,24,3,13,20,65.0,194,2,0,39,153,3.9,1,2,2,3,32,46,69.6,345,1,31,65,2.1,1,1,1,2,2
Pittsburgh,22,2002-08-31,1,,Ohio,80,W,27,14,13,9,23,39.1,97,2,3,44,96,2.2,1,0,3,3,9,23,39.1,79,0,48,204,4.3,2,1,5,6,2
Purdue,38,2002-08-31,1,,Illinois State,182,W,51,10,41,17,34,50.0,283,4,0,49,273,5.6,3,1,1,7,12,32,37.5,153,1,30,68,2.3,0,1,2,3,1
Rice,59,2002-08-31,1,,Houston,5,L,10,24,-14,8,27,29.6,84,0,0,37,188,5.1,1,2,2,1,11,15,73.3,161,1,60,305,5.1,2,3,0,3,3
Rutgers,39,2002-08-31,1,,Villanova,162,L,19,37,-18,17,38,44.7,184,2,1,34,85,2.5,1,0,1,3,24,39,61.5,321,3,38,155,4.1,2,1,2,3,5
San Jose St.,91,2002-08-31,1,@,Arkansas St.,122,W,33,14,19,14,31,45.2,162,1,1,39,148,3.8,1,3,4,4,17,35,48.6,182,1,32,108,3.4,1,2,3,5,2
SMU,8,2002-08-31,1,,Navy,7,L,7,38,-31,12,31,38.7,144,1,2,45,182,4.0,0,3,5,1,4,9,44.4,106,0,54,293,5.4,5,0,0,0,5
South Carolina,117,2002-08-31,1,,New Mexico State,69,W,34,24,10,10,19,52.6,172,1,0,46,229,5.0,3,1,1,4,17,28,60.7,207,1,40,212,5.3,2,1,0,1,3
Southern Miss,60,2002-08-31,1,,Jackson State,252,W,55,7,48,17,31,54.8,340,1,0,38,138,3.6,6,2,2,7,18,36,50.0,201,0,44,72,1.6,1,0,2,2,1
Tennessee,118,2002-08-31,1,,Wyoming,94,W,47,7,40,26,42,61.9,279,1,1,42,188,4.5,4,0,1,5,11,31,35.5,144,1,22,43,2.0,0,2,3,5,1
Texas,48,2002-08-31,1,,North Texas,57,W,27,0,27,17,29,58.6,187,1,0,34,27,0.8,2,0,0,3,6,20,30.0,55,0,38,90,2.4,0,2,0,2,0
Texas A&M,119,2002-08-31,1,,Louisiana,126,W,31,7,24,18,47,38.3,244,0,2,47,179,3.8,3,0,2,4,16,42,38.1,194,1,23,11,0.5,0,4,6,10,1
Troy,129,2002-08-31,1,@,Nebraska,34,L,16,31,-15,11,29,37.9,192,0,2,41,155,3.8,2,1,3,2,8,16,50.0,114,0,54,199,3.7,2,1,1,2,4
Tulane,11,2002-08-31,1,,Southern,255,W,37,19,18,15,28,53.6,191,2,0,46,231,5.0,1,1,1,4,30,50,60.0,279,2,36,148,4.1,1,1,2,3,3
UAB,61,2002-08-31,1,@,Florida,110,L,3,51,-48,11,31,35.5,90,0,0,37,150,4.1,0,1,1,0,20,32,62.5,410,2,38,233,6.1,5,0,1,1,7
Central Florida,1,2002-08-31,1,@,Penn State,37,L,24,27,-3,32,46,69.6,345,1,1,31,65,2.1,1,1,2,2,13,20,65.0,194,2,39,153,3.9,1,2,0,2,3
UNLV,92,2002-08-31,1,,Wisconsin,40,L,7,27,-20,12,26,46.2,138,0,2,31,167,5.4,1,3,5,1,14,26,53.8,191,2,37,158,4.3,1,0,0,0,3
Utah,104,2002-08-31,1,@,Utah St.,93,W,23,3,20,16,30,53.3,165,1,0,53,282,5.3,2,0,0,3,19,42,45.2,171,0,16,-9,-0.6,0,1,1,2,0
