Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Tavon Austin,WR,29.205,2019-10-06,NFL,DAL,,GNB,L 24-34,5,5,Sun,3,18,6.00,0,AustTa00
Braxton Berrios,WR,24.000,2019-10-06,NFL,NYJ,@,PHI,L 6-31,4,5,Sun,2,12,6.00,0,BerrBr00
Tyler Boyd,WR,24.325,2019-10-06,NFL,CIN,,ARI,L 23-26,5,5,Sun,1,-1,-1.00,0,BoydTy00
DeAndre Carter,WR,26.179,2019-10-06,NFL,HOU,,ATL,W 53-32,5,5,Sun,4,22,5.50,0,CartDe02
Corey Clement,RB,24.338,2019-10-06,NFL,PHI,,NYJ,W 31-6,5,5,Sun,1,0,0.00,0,ClemCo00
Tarik Cohen,RB,24.072,2019-10-06,NFL,CHI,@,OAK,L 21-24,5,5,Sun,2,72,36.00,0,CoheTa00
Pharoh Cooper,WR,24.213,2019-10-06,NFL,ARI,@,CIN,W 26-23,5,5,Sun,2,24,12.00,0,CoopPh00
Trevor Davis,WR,26.094,2019-10-06,NFL,OAK,,CHI,W 24-21,5,5,Sun,1,13,13.00,0,DaviTr03
Alex Erickson,WR,26.334,2019-10-06,NFL,CIN,,ARI,L 23-26,5,5,Sun,1,10,10.00,0,EricAl01
Deonte Harris,WR/RS,21.306,2019-10-06,NFL,NOR,,TAM,W 31-24,5,5,Sun,3,8,2.67,0,HarrDe07
Adam Humphries,WR,26.104,2019-10-06,NFL,TEN,,BUF,L 7-14,5,5,Sun,2,2,1.00,0,HumpAd00
Cyrus Jones,CB/RS,25.311,2019-10-06,NFL,BAL,@,PIT,W 26-23,5,5,Sun,1,2,2.00,0,JoneCy00
Desmond King,DB,24.296,2019-10-06,NFL,LAC,,DEN,L 13-20,5,5,Sun,2,69,34.50,1,KingDe01
Ray-Ray McCloud,WR,22.356,2019-10-06,NFL,CAR,,JAX,W 34-27,5,5,Sun,1,3,3.00,0,McClRa00
Gunner Olszewski,WR,22.314,2019-10-06,NFL,NWE,@,WAS,W 33-7,5,5,Sun,3,49,16.33,0,OlszGu00
Trey Quinn,WR,23.303,2019-10-06,NFL,WAS,,NWE,L 7-33,5,5,Sun,1,9,9.00,0,QuinTr00
Andre Roberts,WR,31.270,2019-10-06,NFL,BUF,@,TEN,W 14-7,5,5,Sun,2,2,1.00,0,RobeAn00
Marcus Sherels,CB,32.006,2019-10-06,NFL,MIN,@,NYG,W 28-10,5,5,Sun,1,15,15.00,0,SherMa20
Diontae Spencer,WR,27.201,2019-10-06,NFL,DEN,@,LAC,W 20-13,5,5,Sun,4,22,5.50,0,SpenDi00
Darren Sproles,RB,36.108,2019-10-06,NFL,PHI,,NYJ,W 31-6,5,5,Sun,3,28,9.33,0,SproDa00
Ryan Switzer,WR,24.336,2019-10-06,NFL,PIT,,BAL,L 23-26,5,5,Sun,1,13,13.00,0,SwitRy00
Golden Tate,WR,31.065,2019-10-06,NFL,NYG,,MIN,L 10-28,5,5,Sun,1,17,17.00,0,TateGo00
