Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Brandon Chillar,LB,27.333,2010-09-19,NFL,GNB,,BUF,W 34-7,2,2,Sun,1,9,0,1,ChilBr20
Trent Cole,RDE,27.349,2010-09-19,NFL,PHI,@,DET,W 35-32,2,2,Sun,0,0,0,1,ColeTr20
Nick Collins,FS,27.034,2010-09-19,NFL,GNB,,BUF,W 34-7,2,2,Sun,0,0,0,1,CollNi20
Perrish Cox,CB,23.252,2010-09-19,NFL,DEN,,SEA,W 31-14,2,2,Sun,1,15,0,1,CoxxPe99
Antonio Cromartie,CB,26.157,2010-09-19,NFL,NYJ,,NWE,W 28-14,2,2,Sun,1,0,0,2,CromAn20
Karlos Dansby,ILB,28.320,2010-09-19,NFL,MIA,@,MIN,W 14-10,2,2,Sun,0,0,0,1,DansKa20
Vontae Davis,LCB,22.115,2010-09-19,NFL,MIA,@,MIN,W 14-10,2,2,Sun,1,0,0,2,DaviVo99
Brian Dawkins*,S,36.341,2010-09-19,NFL,DEN,,SEA,W 31-14,2,2,Sun,1,-2,0,1,DawkBr00
Reed Doughty,FS,27.319,2010-09-19,NFL,WAS,,HOU,L 27-30,2,2,Sun,0,0,0,1,DougRe20
Ray Edwards,LDE,25.261,2010-09-19,NFL,MIN,,MIA,L 10-14,2,2,Sun,0,0,0,1,EdwaRa21
Keith Ellison,WLB,26.225,2010-09-19,NFL,BUF,@,GNB,L 7-34,2,2,Sun,0,0,0,1,ElliKe20
Bradley Fletcher,RCB,24.086,2010-09-19,NFL,STL,@,OAK,L 14-16,2,2,Sun,0,0,0,3,FletBr99
London Fletcher,ILB,35.123,2010-09-19,NFL,WAS,,HOU,L 27-30,2,2,Sun,0,0,0,2,FletLo20
Brandon Flowers,LCB,24.213,2010-09-19,NFL,KAN,@,CLE,W 16-14,2,2,Sun,1,33,1,1,FlowBr99
Zack Follett,LB,23.078,2010-09-19,NFL,DET,,PHI,L 32-35,2,2,Sun,0,0,0,1,FollZa99
Dominique Franks,CB,22.346,2010-09-19,NFL,ATL,,ARI,W 41-7,2,2,Sun,1,40,0,1,FranDo99
Chris Gamble,LCB,27.192,2010-09-19,NFL,CAR,,TAM,L 7-20,2,2,Sun,0,0,0,2,GambCh20
Charles Godfrey,SS,24.308,2010-09-19,NFL,CAR,,TAM,L 7-20,2,2,Sun,0,0,0,1,GodfCh99
Deon Grant,S,31.189,2010-09-19,NFL,NYG,@,IND,L 14-38,2,2,Sun,0,0,0,1,GranDe21
Courtney Greene,SS,23.300,2010-09-19,NFL,JAX,@,SDG,L 13-38,2,2,Sun,1,8,0,1,GreeCo99
Michael Griffin,FS,25.258,2010-09-19,NFL,TEN,,PIT,L 11-19,2,2,Sun,0,0,0,1,GrifMi99
Brent Grimes,LCB,27.062,2010-09-19,NFL,ATL,,ARI,W 41-7,2,2,Sun,0,0,0,1,GrimBr20
Mario Haggan,ILB,30.200,2010-09-19,NFL,DEN,,SEA,W 31-14,2,2,Sun,0,0,0,1,HaggMa20
Clark Haggans,LOLB,33.252,2010-09-19,NFL,ARI,@,ATL,L 7-41,2,2,Sun,0,0,0,1,HaggCl20
Leon Hall,RCB,25.284,2010-09-19,NFL,CIN,,BAL,W 15-10,2,2,Sun,1,22,0,1,HallLe98
Joselio Hanson,CB,29.037,2010-09-19,NFL,PHI,@,DET,W 35-32,2,2,Sun,0,0,0,2,HansJo20
David Hawthorne,OLB,25.128,2010-09-19,NFL,SEA,@,DEN,L 14-31,2,2,Sun,0,0,0,1,HawtDa20
Kelvin Hayden,LCB,27.058,2010-09-19,NFL,IND,,NYG,W 38-14,2,2,Sun,0,0,0,1,HaydKe20
Ellis Hobbs,RCB,27.126,2010-09-19,NFL,PHI,@,DET,W 35-32,2,2,Sun,1,0,0,1,HobbEl20
Vonnie Holliday,DL,34.282,2010-09-19,NFL,WAS,,HOU,L 27-30,2,2,Sun,0,0,0,1,HollVo20
Chris Hope,SS,29.355,2010-09-19,NFL,TEN,,PIT,L 11-19,2,2,Sun,0,0,0,1,HopeCh21
Thomas Howard,LB,27.067,2010-09-19,NFL,OAK,,STL,W 16-14,2,2,Sun,0,0,0,1,HowaTh20
Kareem Jackson,RCB,22.162,2010-09-19,NFL,HOU,@,WAS,W 30-27,2,2,Sun,0,0,0,1,JackKa99
Mike Jenkins,RCB,25.181,2010-09-19,NFL,DAL,,CHI,L 20-27,2,2,Sun,0,0,0,1,JenkMi99
Brandon Johnson,WLB,27.167,2010-09-19,NFL,CIN,,BAL,W 15-10,2,2,Sun,1,12,0,1,JohnBr20
Adam Jones,CB,26.354,2010-09-19,NFL,CIN,,BAL,W 15-10,2,2,Sun,1,10,0,2,JonePa20
David Jones,CB,25.000,2010-09-19,NFL,JAX,@,SDG,L 13-38,2,2,Sun,1,0,0,1,JoneDa99
Johnathan Joseph,LCB,26.156,2010-09-19,NFL,CIN,,BAL,W 15-10,2,2,Sun,0,0,0,1,JoseJo20
Dawan Landry,SS,27.263,2010-09-19,NFL,BAL,@,CIN,L 10-15,2,2,Sun,0,0,0,1,LandDa21
LaRon Landry,SS,25.340,2010-09-19,NFL,WAS,,HOU,L 27-30,2,2,Sun,0,0,0,1,LandLa99
Paris Lenon,ILB,32.297,2010-09-19,NFL,ARI,@,ATL,L 7-41,2,2,Sun,0,0,0,1,LenoPa20
Jim Leonhard,S,27.327,2010-09-19,NFL,NYJ,,NWE,W 28-14,2,2,Sun,0,0,0,1,LeonJi23
Richard Marshall,RCB,25.281,2010-09-19,NFL,CAR,,TAM,L 7-20,2,2,Sun,0,0,0,1,MarsRi20
Tony McDaniel,DT,25.242,2010-09-19,NFL,MIA,@,MIN,W 14-10,2,2,Sun,0,0,0,1,McDaTo20
Bryant McFadden,RCB,28.302,2010-09-19,NFL,PIT,@,TEN,W 19-11,2,2,Sun,1,0,0,2,McFaBr20
Quintin Mikell,SS,30.003,2010-09-19,NFL,PHI,@,DET,W 35-32,2,2,Sun,0,0,0,3,MikeQu20
D.J. Moore,CB,23.181,2010-09-19,NFL,CHI,@,DAL,W 27-20,2,2,Sun,2,38,0,2,MoorDJ99
William Moore,S,25.124,2010-09-19,NFL,ATL,,ARI,W 41-7,2,2,Sun,1,31,0,1,MoorWi99
Jerome Murphy,CB,23.249,2010-09-19,NFL,STL,@,OAK,L 14-16,2,2,Sun,1,19,0,1,MurpJe99
Jesse Nading,DE,25.078,2010-09-19,NFL,HOU,@,WAS,W 30-27,2,2,Sun,0,0,0,1,NadiJe00
Nedu Ndukwe,S,25.199,2010-09-19,NFL,CIN,,BAL,W 15-10,2,2,Sun,1,0,0,2,NdukCh99
Antwan Odom,RDE,28.360,2010-09-19,NFL,CIN,,BAL,W 15-10,2,2,Sun,0,0,0,1,OdomAn20
Brian Orakpo,ROLB,24.050,2010-09-19,NFL,WAS,,HOU,L 27-30,2,2,Sun,0,0,0,1,OrakBr99
Chris Owens,CB,23.292,2010-09-19,NFL,ATL,,ARI,W 41-7,2,2,Sun,1,13,0,1,OwenCh99
Julius Peppers,RDE,30.244,2010-09-19,NFL,CHI,@,DAL,W 27-20,2,2,Sun,0,0,0,2,PeppJu99
Shaun Phillips,OLB,29.129,2010-09-19,NFL,SDG,,JAX,W 38-13,2,2,Sun,0,0,0,1,PhilSh20
Troy Polamalu,SS,29.153,2010-09-19,NFL,PIT,@,TEN,W 19-11,2,2,Sun,1,0,0,1,PolaTr99
Brodney Pool,S,26.118,2010-09-19,NFL,NYJ,,NWE,W 28-14,2,2,Sun,1,0,0,1,PoolBr20
Jerraud Powers,RCB,23.062,2010-09-19,NFL,IND,,NYG,W 38-14,2,2,Sun,1,0,0,2,PoweJe99
Darrelle Revis,CB,25.067,2010-09-19,NFL,NYJ,,NWE,W 28-14,2,2,Sun,0,0,0,1,ReviDa99
Dunta Robinson,RCB,28.161,2010-09-19,NFL,ATL,,ARI,W 41-7,2,2,Sun,0,0,0,2,RobiDu20
Dominique Rodgers-Cromartie,LCB,24.165,2010-09-19,NFL,ARI,@,ATL,L 7-41,2,2,Sun,0,0,0,3,RodgDo99
Carlos Rogers,RCB,29.079,2010-09-19,NFL,WAS,,HOU,L 27-30,2,2,Sun,1,5,0,1,RogeCa20
Matt Roth,OLB,27.340,2010-09-19,NFL,CLE,,KAN,L 14-16,2,2,Sun,0,0,0,1,RothMa20
Stanford Routt,CB,27.058,2010-09-19,NFL,OAK,,STL,W 16-14,2,2,Sun,1,0,0,2,RoutSt20
