"Team","TeamCode","ConferenceCode","FBS","Power5","Conference","ConferenceAbbrev","Nickname","Name1","Name2","Name3","Name4","Name5","Name6","Name7","Name8","URL","logo","color_0_hex","color_1_hex","color_2_hex"
"Western Kentucky",64,5,"True","False","Conference USA","C-USA","Hilltoppers","WKU","W Kentucky","W. Kentucky",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/98.png","https://cdn.usteamcolors.com/images/ncaa/division-1/western-kentucky-hilltoppers-logo.png","#B01E24",,
"Army",65,6,"True","False","Independent (FBS)","IND (FBS)","Black Knights","ARMY","Army West Point",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/349.png","https://cdn.usteamcolors.com/images/ncaa/division-1/army-black-knights-logo.png","#000000","#D4BF91","#B2B4B3"
"BYU",66,6,"True","False","Independent (FBS)","IND (FBS)","Cougars","BYU","Brigham Young",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/252.png","https://cdn.usteamcolors.com/images/ncaa/division-1/byu-cougars-logo.png","#002E5D",,
"Liberty",67,6,"True","False","Independent (FBS)","IND (FBS)","Flames","LIB",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png","https://cdn.usteamcolors.com/images/ncaa/division-1/liberty-flames-logo.png","#990000","#0A254E",
"Massachusetts",68,6,"True","False","Independent (FBS)","IND (FBS)","Minutemen","UMASS","UMass","Mass",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/113.png","https://cdn.usteamcolors.com/images/ncaa/division-1/umass-minutemen-logo.png","#971B2F",,
"New Mexico State",69,6,"True","False","Independent (FBS)","IND (FBS)","Aggies","NMSU","New Mexico St","New Mexico St.",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/166.png","https://cdn.usteamcolors.com/images/ncaa/division-1/new-mexico-state-aggies-logo.png","#891216",,
"Notre Dame",70,6,"True","True","Independent (FBS)","IND (FBS)","Fighting Irish","ND",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/87.png","https://cdn.usteamcolors.com/images/ncaa/division-1/notre-dame-fighting-irish-logo.png","#0C2340","#C99700",
"Akron",71,7,"True","False","Mid-American","MAC","Zips","AKR",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","https://cdn.usteamcolors.com/images/ncaa/division-1/akron-zips-logo.png","#041E42","#A89968",
"Ball St.",72,7,"True","False","Mid-American","MAC","Cardinals","BALL","Ball St","Ball State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png","https://cdn.usteamcolors.com/images/ncaa/division-1/ball-state-cardinals-logo.png","#BA0C2F",,
"Bowling Green",73,7,"True","False","Mid-American","MAC","Falcons","BGSU","Bowling Green State","Bowling Green St.","Bowling Green St",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/189.png","https://cdn.usteamcolors.com/images/ncaa/division-1/bowling-green-falcons-logo.png","#FE5000","#4F2C1D",
"Buffalo",74,7,"True","False","Mid-American","MAC","Bulls","BUFF",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png","https://cdn.usteamcolors.com/images/ncaa/division-1/buffalo-bulls-logo.png","#005BBB",,
"Central Michigan",75,7,"True","False","Mid-American","MAC","Chippewas","CMU","Cent Michigan","C Michigan",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png","https://cdn.usteamcolors.com/images/ncaa/division-1/central-michigan-chippewas-logo.png","#6A0032","#FFC82E",
"Eastern Michigan",76,7,"True","False","Mid-American","MAC","Eagles","EMU","E Michigan","East. Michigan","East Michigan",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png","https://cdn.usteamcolors.com/images/ncaa/division-1/eastern-michigan-eagles-logo.png","#046A38",,
"Kent State",77,7,"True","False","Mid-American","MAC","Golden Flashes","KENT","Kent St.","Kent St",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png","https://cdn.usteamcolors.com/images/ncaa/division-1/kent-state-golden-flashes-logo.png","#002664","#EFAB00",
"Miami (OH)",78,7,"True","False","Mid-American","MAC","RedHawks","M-OH","Miami (Ohio)","Miami-OH",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/193.png","https://cdn.usteamcolors.com/images/ncaa/division-1/miami-redhawks-logo.png","#B61E2E",,
